# S11 exact-fidelity test of S10's claim.  L=192 |I|=114 theta(CG)=0.28870 |u|^2=0.007272  (2s)
# window kc -> modes: 10:12 15:16 20:20 25:24 30:26
# s=0.05: g_Q^cap(compr)=9.020654e-06  g_Q^unc(compr)=2.230460e+283  -logF(compr): kc10=7.994421e-06 kc15=8.483148e-06 kc20=8.643270e-06 kc25=8.716675e-06 kc30=8.737979e-06
#   best eps/s on g_Q^cap: -1.000 ratio=0.7093 | on g_Q^unc: +0.250 ratio=0.6609 | on -logF(kc=30): -1.100 ratio=0.6692
#   AT eps/s=-1 : ratios  g_Q^cap=0.7093  g_Q^unc=30.2983  -logF(kc10)=0.5889 -logF(kc15)=0.6251 -logF(kc20)=0.6490 -logF(kc25)=0.6662 -logF(kc30)=0.6720
#   eps/s   g_Q^cap/g0     g_Q^unc/g0    -logF(kc10)/F0  -logF(kc15)/F0  -logF(kc20)/F0  -logF(kc25)/F0  -logF(kc30)/F0
    -2.000     1.015609   253.161910      0.639297     0.746909     0.819152     0.871051     0.889261
    -1.750     0.883072   162.869118      0.583349     0.669861     0.727678     0.769281     0.783797
    -1.500     0.787889    99.540827      0.556306     0.623884     0.668834     0.701222     0.712446
    -1.300     0.738589    64.191991      0.555469     0.609466     0.645243     0.671040     0.679921
    -1.250     0.729989    57.113511      0.558148     0.608967     0.642605     0.666864     0.675199
    -1.200     0.722879    50.657005      0.561981     0.609710     0.641272     0.664035     0.671841
    -1.100     0.713129    39.456907      0.573111     0.614923     0.642517     0.662419     0.669216
    -1.000     0.709338    30.298256      0.588858     0.625102     0.648976     0.666191     0.672044
    -0.900     0.711508    22.907815      0.609221     0.640249     0.660647     0.675351     0.680325
    -0.800     0.719641    17.032641      0.634198     0.660362     0.677530     0.689898     0.694057
    -0.750     0.725944    14.589807      0.648417     0.672281     0.687925     0.699191     0.702967
    -0.700     0.733740    12.440180      0.663789     0.685441     0.699623     0.709829     0.713239
    -0.500     0.779856     6.275696      0.736806     0.750495     0.759432     0.765842     0.767950
    -0.250     0.871164     2.445468      0.854007     0.859737     0.863468     0.866123     0.866971
    +0.000     1.000000     1.000000      1.000000     1.000000     1.000000     1.000000     1.000000
    +0.250     1.166540     0.660909      1.174765     1.171278     1.168996     1.167431     1.166996
    +0.500     1.371001     0.980058      1.378282     1.373565     1.370439     1.368390     1.367934
# s=0.02: g_Q^cap(compr)=1.449926e-06  g_Q^unc(compr)=5.521171e+281  -logF(compr): kc10=1.306398e-06 kc15=1.385082e-06 kc20=1.410829e-06 kc25=1.422262e-06 kc30=1.425585e-06
#   best eps/s on g_Q^cap: -1.000 ratio=0.7049 | on g_Q^unc: +0.250 ratio=0.6407 | on -logF(kc=30): -1.100 ratio=0.6614
#   AT eps/s=-1 : ratios  g_Q^cap=0.7049  g_Q^unc=31.4607  -logF(kc10)=0.5865 -logF(kc15)=0.6207 -logF(kc20)=0.6434 -logF(kc25)=0.6597 -logF(kc30)=0.6655
#   eps/s   g_Q^cap/g0     g_Q^unc/g0    -logF(kc10)/F0  -logF(kc15)/F0  -logF(kc20)/F0  -logF(kc25)/F0  -logF(kc30)/F0
    -2.000     0.993050   264.377998      0.625314     0.728199     0.796556     0.846841     0.864819
    -1.750     0.866449   169.858668      0.573182     0.655700     0.710423     0.750574     0.764875
    -1.500     0.776201   103.671947      0.549340     0.613626     0.656195     0.687310     0.698340
    -1.300     0.730192    66.780694      0.550631     0.601873     0.635775     0.660453     0.669161
    -1.250     0.722330    59.399355      0.553782     0.601977     0.633858     0.657037     0.665205
    -1.200     0.715924    52.668680      0.558064     0.603297     0.633217     0.654941     0.662585
    -1.100     0.707482    40.998244      0.570020     0.609589     0.635758     0.654704     0.661351
    -1.000     0.704869    31.460726      0.586501     0.620748     0.643399     0.659743     0.665458
    -0.900     0.708088    23.769086      0.607504     0.636773     0.656137     0.670056     0.674904
    -0.800     0.717141    17.657945      0.633030     0.657666     0.673971     0.685642     0.689688
    -0.750     0.723857    15.118061      0.647489     0.669938     0.684800     0.695412     0.699082
    -0.700     0.732032    12.883618      0.663079     0.683426     0.696901     0.706500     0.709811
    -0.500     0.779339     6.479414      0.736740     0.749544     0.758044     0.764027     0.766063
    -0.250     0.871367     2.502779      0.854246     0.859566     0.863116     0.865565     0.866377
    +0.000     1.000000     1.000000      1.000000     1.000000     1.000000     1.000000     1.000000
    +0.250     1.165304     0.640694      1.173995     1.170845     1.168687     1.167296     1.166897
    +0.500     1.367350     0.956192      1.376223     1.372100     1.369173     1.367428     1.367044
# s=0.01: g_Q^cap(compr)=3.629255e-07  g_Q^unc(compr)=3.433037e+280  -logF(compr): kc10=3.288079e-07 kc15=3.484922e-07 kc20=3.548978e-07 kc25=3.577093e-07 kc30=3.585241e-07
#   best eps/s on g_Q^cap: -1.000 ratio=0.7072 | on g_Q^unc: +0.250 ratio=0.6362 | on -logF(kc=30): -1.100 ratio=0.6624
