# S11 exact-fidelity test of S10's claim.  L=320 |I|=191 theta(CG)=0.29074 |u|^2=0.007340  (5s)
# window kc -> modes: 15:17 25:25 32:31
# s=0.02: g_Q^cap(compr)=1.462140e-06  g_Q^unc(compr)=2.648303e+282  -logF(compr): kc15=1.392036e-06 kc25=1.430683e-06 kc32=1.439730e-06
#   best eps/s on g_Q^cap: -1.000 ratio=0.7052 | on g_Q^unc: +0.250 ratio=0.6476 | on -logF(kc=32): -1.100 ratio=0.6621
#   AT eps/s=-1 : ratios  g_Q^cap=0.7052  g_Q^unc=63.9842  -logF(kc15)=0.6105 -logF(kc25)=0.6488 -logF(kc32)=0.6660
#   eps/s   g_Q^cap/g0     g_Q^unc/g0    -logF(kc15)/F0  -logF(kc25)/F0  -logF(kc32)/F0
    -2.000     0.998282   628.411885      0.701854     0.816258     0.869401
    -1.750     0.870051   394.424169      0.633939     0.725686     0.768118
    -1.500     0.778442   233.438061      0.596080     0.667586     0.700466
    -1.300     0.731542   145.569879      0.587431     0.644479     0.670553
    -1.250     0.723484   128.248121      0.588274     0.641947     0.666435
    -1.200     0.716894   112.555906      0.590319     0.640713     0.663662
    -1.100     0.708117    85.632946      0.598016     0.642137     0.662149
    -1.000     0.705215    63.984233      0.610520     0.648752     0.666011
    -0.900     0.708189    46.853135      0.627833     0.660554     0.675247
    -0.800     0.717043    33.543240      0.649954     0.677544     0.689857
    -0.750     0.723676    28.120103      0.662817     0.687983     0.699177
    -0.700     0.731781    23.418444      0.676883     0.699719     0.709839
    -0.500     0.778921    10.481792      0.745164     0.759620     0.765914
    -0.250     0.871007     3.256269      0.857559     0.863637     0.866199
    +0.000     1.000000     1.000000      1.000000     1.000000     1.000000
    +0.250     1.165974     0.647565      1.172487     1.168667     1.167272
    +0.500     1.369009     1.520303      1.375019     1.369616     1.367991
